bracelet,case_diameter,case_material,crystal,dial,gender,in_stock,model_number,movement,online_exclusive,price,strap,url,watch_model,water_resistance
grey ion-plated stainless steel link bracelet,40,grey ion-plated stainless steel,K1,grey Museum with flat dot,unisex,In Stock,3600509,Swiss quartz movement,No,$695.00,,https://www.movado.com/us/en/shop-watches/movado-bold-evolution-3600509.html,Movado BOLD Evolution,3 ATM
,35.1,carnation gold ion-plated stainless steel,K1,pink Museum with concave dot,women's,In Stock,3640011,Swiss quartz movement,No,$350.00,pink leather,https://www.movado.com/us/en/shop-watches/movado-face-3640011.html,Movado Face,3 ATM
pale gold ion-plated stainless steel mesh bracelet,34,pale gold ion-plated stainless steel,K1,gold-toned metallic Museum with flat dot,Women's,In Stock,3600653,Swiss quartz movement,No,$550.00,,https://www.movado.com/us/en/shop-watches/movado-bold-evolution-3600653.html,Movado BOLD Evolution,3 ATM
pale gold ion-plated stainless steel link bracelet,34,pale gold ion-plated stainless steel,K1,gold-toned metallic Museum with crystal set dot,Women's,In Stock,3600649,Swiss quartz movement,No,$695.00,,https://www.movado.com/us/en/shop-watches/movado-bold-evolution-3600649.html,Movado BOLD Evolution,3 ATM
,42,grey ion-plated stainless steel,K1,white with printed index,men's,In Stock,3600631,Swiss quartz chronograph movement,No,$650.00,brown leather,https://www.movado.com/us/en/shop-watches/movado-bold-thin-3600631.html,Movado BOLD Thin,3 ATM
,42,black TR90 composite material and stainless steel,K1,blue Museum with flat dot,men's,In Stock,3600601,Swiss quartz movement,No,$395.00,dark navy leather,https://www.movado.com/us/en/shop-watches/movado-bold-tr90-3600601.html,Movado BOLD TR90,3 ATM
yellow gold ion-plated stainless steel link bracelet,44,yellow gold ion-plated stainless steel,K1,gold-toned metallic with printed index,men's,In Stock,3600278,Swiss quartz chronograph movement,No,$995.00,,https://www.movado.com/us/en/shop-watches/movado-bold-metals-3600278.html,Movado BOLD Metals,30 meters
black ion-plated stainless steel mesh bracelet,40,black ion-plated stainless steel,K1,black Museum with flat dot,men's,In Stock,3600562,Swiss quartz movement,No,$595.00,,https://www.movado.com/us/en/shop-watches/movado-bold-evolution-3600562.html,Movado BOLD Evolution,3 ATM
,34,stainless steel,K1,silver-toned metallic Museum with flat dot,Women's,In Stock,3600641,Swiss quartz movement,No,$395.00,pink leather,https://www.movado.com/us/en/shop-watches/movado-bold-evolution-3600641.html,Movado BOLD Evolution,3 ATM
blush ceramic link bracelet,36,blush ceramic and stainless steel,K1,blush Museum with flat dot,Women's,In Stock,3600709,Swiss quartz movement,No,$650.00,,https://www.movado.com/us/en/shop-watches/movado-bold-evolution-3600709.html,Movado BOLD Evolution,3 ATM
