bulleted_details,description,price,rating,review_count,review_text,sale,url,watch_model
"Swiss quartz movement,Black leather strap with black ion-plated stainless steel buckle closure: strap width: 22mm; length:200mm,Round black TR90 composite material and stainless steel case, 42mm, K1 crystal; 7/16"" thick. See Watch Size Guide link below.,Black Museum® dial with sunray dot marker and two hands,Water resistant to 30 meters,Two-year limited warranty,Macy's accepts returns of unused fine watches for exchange or refund within 60 days of purchase.,Macy’s does not offer its own watch warranty; all warranties are provided by the vendor.,Photo may have been enlarged and/or enhanced.,This item cannot be shipped to American Samoa, Guam, Marshall Islands, U.S. Virgin Islands, Puerto Rico, Palau or the Pacific Islands,Sign up for Macy's WorryNoMore® Jewelry & Watch Protection program within 30 days of purchase. Before delivery, call Customer Service 1-800-289-6229 to sign up. After delivery, visit a Macy's store with your dated receipt and jewelry purchase to sign up.,Web ID: 2117048","The Bold collection features all the sophistication of Movado, energized with a new attitude and ultra-contemporary styling.",$395.00,88%,18,"Movado, The whole watch just blended together. Only in the picture you were able to see the Movado logo,Interchangeable; sporty yet formal, LOVE this watch. I am a big Movado collector and the leather band gives it a bit of a sleek and formal look while the over all design also allows me to use it for every day casual use.,Great watch, Gave watch as gift to boyfriend for Christmas. He has been wanting a Movado watch for a few years. He loves it. The style makes it look more expensive than it is. He doesn't take it off. I'm very happy with this product and would recommend this watch to anyone.,Great quality watch, My husband absolutely loved this for christmas. only thing is very hard to tell time in the dark. black on black, should've known.,Special Gift, Love the watch the price and his smile when he received it for xmas,Great Wedding Present!, I purchased this for my husband to be and gave it to him the day of our wedding. Perfect Gift!! He loved it!,Lovely, Very comfortable and great accent. Love the leather. [This review was collected as part of a promotion.],Beautiful Watch, Looks great with casual or formal wear. It is not too large for small. Perfect for everyday.,Looks great, Bought this for my son and got it at a great price esp for Movado they are very expensive watches but well worth it. I can't wait to give it to him.,great quality, My boyfriend loved the watch! Looks good and its reasonably priced.,Gorgeous, I bought this watch for my boyfriend, and it's absolutely stunning! He's going to love it! Definitely recommend it!,Nice watch, I bought it for my boyfriend as a birthday present and he really liked it. Looks great!,Happy Hubby!, Bought this watch for my husband for our Anniversary!
He just LOVED this classy, sexy watch!,Nice watch, Nice watch. Looks nice with casual or dress wear. My husband loves it.,Beautiful watch, I bought this watch for my bae and he loved it but he’s a big guy and the leather strap was too small for his wrist so I am returning and ordering the one with the same face that has the linked band and hopefully if we need to adjust it we can remove and add links. Hopefully extra links come with the watch.,Disappointed, Bought this as a Christmas gift for my significant other. Was very disappointed with the look and quality. Looked cheap and the all black was difficult to read. So lackluster that I returned it.,Sleek, Very sleek looking! Lightweight, perfect size, and comfortable to wear. All around beautiful watch! Receive many compliments when wearing.,Elegant & sporty, I gave this to my son on his birthday last Sunday and he loves it. He is a young man who works and still go to school. Highly recommended!",Extra 25% off use: FRIEND,https://www.macys.com/shop/product/movado-mens-swiss-bold-black-leather-strap-watch-42mm-3600306?ID=2117048&CategoryID=65993&isDlp=true,Men's Swiss Bold Black Leather Strap Watch 42mm 3600306
"Stainless steel bracelet,Round case, 45mm, tungsten carbide hard metal bezel, sapphire crystal,Black chronograph dial with flat dot marker at twelve o'clock, three matching timing subdials, date window, silver-tone stick indices and luminous hands,Swiss quartz movement,Water resistant to 30 meters,Two-year limited warranty,Macy’s does not offer its own watch warranty; all warranties are provided by the vendor.,Imported,Photo may have been enlarged and/or enhanced.,This item cannot be shipped to American Samoa, Guam, Marshall Islands, U.S. Virgin Islands, Puerto Rico, Palau or the Pacific Islands,Sign up for Macy's WorryNoMore® Jewelry & Watch Protection program within 30 days of purchase. Before delivery, call Customer Service 1-800-289-6229 to sign up. After delivery, visit a Macy's store with your dated receipt and jewelry purchase to sign up.,Macy's accepts returns of unused fine watches for exchange or refund within 60 days of purchase.,Web ID: 687695",This striking Vizio collection watch from Movado is crafted with the finest Swiss precision.,"$2,495.00",95%,4,,Extra 25% off use: FRIEND,https://www.macys.com/shop/product/movado-mens-swiss-chronograph-vizio-stainless-steel-bracelet-watch-45mm-0606551?ID=687695&CategoryID=65993&isDlp=true,Men's Swiss Chronograph Vizio Stainless Steel Bracelet Watch 45mm 0606551
"Movement: Swiss quartz,Case: round; 45mm; K1 crystal,Strap: gunmetal ion-plated stainless steel mesh bracelet; approx. width: 22,Closure: sliding buckle,Dial: gunmetal-tone with subdial,Water resistance: to 30 meters,Warranty: 2-year limited,Sign up for Macy's Worry No More Jewelry & Watch Protection program within 30 days of your purchase. Call Customer Service at 1.800.BUY.MACYS (1.800.289.6229), use Macy's Chat function, or visit any Macy's store with your dated online receipt.,Photo may have been enlarged and/or enhanced.,This item cannot be shipped to American Samoa, Guam, Marshall Islands, U.S. Virgin Islands, Puerto Rico, Palau or the Pacific Islands,Web ID: 10210865","A staple of Movado's iconic Bold collection, this smoky watch is sure to become the bedrock of your collection. Style #3600679",Sale $626.50,100%,1,"My love Xmas gift, My love Xmas gift, quality products and I am very HAPPY", $24.99 Men's Bonus Buy ,https://www.macys.com/shop/product/movado-mens-swiss-bold-gunmetal-ion-plated-stainless-steel-mesh-bracelet-watch-45mm?ID=10210865&CategoryID=65993&isDlp=true,Men's Swiss Bold Gunmetal Ion-Plated Stainless Steel Mesh Bracelet Watch 45mm
"TECH FEATURES-,Tracks activity, heart rate and GPS location. Receives smart notifications, controls your music & runs Google Pay™.,Battery lasts for 1 day on single charge in smart mode or multiple days in watch mode. Magnetic charger.,Compatible with Android 4.4+ (excluding Go edition) or iOS 10+,Touchscreen hybrid display with customizable movado dial designs and pushers,Features voice activated Google Assistant and Google Fit,PRODUCT FEATURES-,Smart watch movement,Round gunmetal stainless steel; 42mm,Black fabric strap,Hook & loop closure,Water resistant to 10 meters,2-year limited warranty,Photo may have been enlarged and/or enhanced.,Sign up for Macy's WorryNoMore® Jewelry & Watch Protection program within 30 days of purchase. Before delivery, call Customer Service 1-800-289-6229 to sign up. After delivery, visit a Macy's store with your dated receipt and jewelry purchase to sign up.,Web ID: 10093862",A pinstripe black and gray fabric strap joins a gunmetal gray stainless steel case for Movado's hard working and technologically sophisticated smart watch from the Connect 2.0 series. Style #3660031,Now $347.00,20%,1,"Battery life sucks, Just purchased this watch today and definitely going to return it tomorrow. What a big disappointment on this watch. I have always love the Movado collection and thinking ""hey.. why not try the movado connect 2.0 as well"" especially I never owed a smart watch. I gave the one star because I do love how the face look but other than that. Nothing is good about it especially with the battery life. I don't know if my watch is Defected. But the battery just runs out so fast. I say within 20 mins. It drop 10% already and start getting hot and I'm not even wearing the watch. Don't buy it even tho it's having on sale now.", $24.99 Men's Bonus Buy ,https://www.macys.com/shop/product/movado-connect-2.0-black-fabric-strap-hybrid-touchscreen-smart-watch-42mm?ID=10093862&CategoryID=65993&isDlp=true,Connect 2.0 Black Fabric Strap Hybrid Touchscreen Smart Watch 42mm
"TECH FEATURES-,Tracks heart rate, GPS, distance, steps and calories. Receieves smart notifications like text, email alerts and calendar reminders. Controls your music & runs Google Pay™. ,Battery on one charge lasts up to one day. Charges with magnetic cable.,Compatible with Android™ OS 4.4+ and iOS 10.0+ devices,Touchscreen display with customizable movado dial designs and pushers,Features voice activated Google Assistant and Google Fit,PRODUCT FEATURES-,Smart watch movement,Round case; 42mm,Stainless steel bracelet,Push button deployment closure,Water resistant to 10 meters,2-year limited warranty,Photo may have been enlarged and/or enhanced.,Sign up for Macy's WorryNoMore® Jewelry & Watch Protection program within 30 days of purchase. Before delivery, call Customer Service 1-800-289-6229 to sign up. After delivery, visit a Macy's store with your dated receipt and jewelry purchase to sign up.,Web ID: 10093867",Honed stainless steel accentuates the angular design of this Connect 2.0 touchscreen smart watch from Movado. This fine wearable watch provides fitness tracking and maintains a remote link with your smart phone. Style #3660035,Now $557.00,None,0,, $24.99 Men's Bonus Buy ,https://www.macys.com/shop/product/movado-connect-2.0-stainless-steel-bracelet-touchscreen-smart-watch-42mm?ID=10093867&CategoryID=65993&isDlp=true,Connect 2.0 Stainless Steel Bracelet Touchscreen Smart Watch 42mm
"Performance stainless steel link bracelet with deployment clasp closure,Round Performance stainless steel case, 42mm, with black aluminum unidirectional bezel and screw-down crown,Black dial with luminescent details, applied stick indices, minute index, three subdials, date window and silver-tone Movado signature dot,Swiss quartz chronograph movement,Water resistant to 200 meters,Two-year limited warranty,Macy’s does not offer its own watch warranty; all warranties are provided by the vendor.,Photo may have been enlarged and/or enhanced.,This item cannot be shipped to American Samoa, Guam, Marshall Islands, U.S. Virgin Islands, Puerto Rico, Palau or the Pacific Islands,Sign up for Macy's WorryNoMore® Jewelry & Watch Protection program within 30 days of purchase. Before delivery, call Customer Service 1-800-289-6229 to sign up. After delivery, visit a Macy's store with your dated receipt and jewelry purchase to sign up.,Web ID: 4464258","Innovative design, superior performance and Swiss precision come together in this handsome Series 800 chronograph timepiece from Movado.","$1,295.00",100%,3,"Very Professional!, This watch says you are not playing games! Very serious, very professional. Excellent craftsmanship. A nice weight to it. You could trust Movado will make a sturdy reliable time piece. I am thoroughly impressed by this watch. They hit it out of the park, A+,Birthday Gift, Bought watch for husband....He LOVED it!!!! Beautiful!,Nice Watch, I love this watch very well made .nice and sturdy really good watch.",Extra 25% off use: FRIEND,https://www.macys.com/shop/product/movado-mens-swiss-chronograph-series-800-performance-steel-bracelet-diver-watch-42mm?ID=4464258&CategoryID=65993&isDlp=true,Men's Swiss Chronograph Series 800 Performance Steel Bracelet Diver Watch 42mm
"Movement: Swiss quartz,Case: round; 28mm,Strap: gold ion-plated stainless steel bangle bracelet; approx. width: 9mm,Closure: jewelry clasp,Dial: Museum® with flat dot marker ,Water resistance: to 30 meters,Warranty: 2-year limited,Get FREE watch sizing at Macy's stores—just show us your Macy's proof-of-purchase.,Don't have your proof-of-purchase? Then pay just $15.,Note: Mother-of-Pearl dials may vary in color as each piece is uniquely made and  one of a kind,Photo may have been enlarged and/or enhanced.,This item cannot be shipped to American Samoa, Guam, Marshall Islands, U.S. Virgin Islands, Puerto Rico, Palau or the Pacific Islands,Sign up for Macy's WorryNoMore® Jewelry & Watch Protection program within 30 days of purchase. Before delivery, call Customer Service 1-800-289-6229 to sign up. After delivery, visit a Macy's store with your dated receipt and jewelry purchase to sign up.,Web ID: 10097694",Movado's jewelry-inspired bangle bracelet watch is elegantly detailed with golden hues and the brand's iconic minimalism. From the Bold collection. Style #3600627,$495.00,None,0,,Extra 25% off use: FRIEND,https://www.macys.com/shop/product/movado-womens-swiss-bold-gold-ion-plated-stainless-steel-bangle-bracelet-watch-28mm?ID=10097694&CategoryID=65993&isDlp=true,Women's Swiss Bold Gold Ion-Plated Stainless Steel Bangle Bracelet Watch 28mm
"Movement: Swiss quartz,Case: round; 40mm,Strap: gold-tone PVD stainless steel bracelet with deployment clasp,Dial: black Museum,Water resistance: to 30 meters,Physical Vapor Deposition (PVD) is a coating process used to promote density and help protect from everyday wear and tear. ,Warranty: 2-year limited,Get FREE watch sizing at Macy’s stores—just show us your Macy’s Proof-of-Purchase .,Don’t have your proof-of-purchase? Then pay just $15,Sign up for Macy's WorryNoMore® Jewelry & Watch Protection program within 30 days of your purchase. Call Customer Service at: 1-800-BUY-MACY (1-800-289-6229), use Macy's Chat function or visit any Macy's store with your dated online receipt.,Photo may have been enlarged and/or enhanced.,Web ID: 6617018",Ideal balance and refinement define this highly-polished gold-tone stainless steel Museum Classic timepiece from Movado. Style #0607203,"$1,195.00",100%,3,"Classic watch for a classic man, My beautiful queen got this watch for me, and since then the compliments just keep coming everywhere I go.,Classy., This is the second movado watch that I am getting. I absolutely love it. [This review was collected as part of a promotion.],Nice, I bought the watch a week ago. They gave me a good deal [This review was collected as part of a promotion.]",Extra 25% off use: FRIEND,https://www.macys.com/shop/product/movado-mens-swiss-museum-classic-gold-tone-pvd-stainless-steel-bracelet-watch-40mm?ID=6617018&CategoryID=65993&isDlp=true,Men's Swiss Museum Classic Gold-Tone PVD Stainless Steel Bracelet Watch 40mm
"Movement: Swiss three-hand quartz,Case: round gray ion-plated stainless steel; 43mm,Strap: cognac leather; gray ion-plated steel buckle,Dial: black lacquer chronograph with luminescent rose gold-tone applied indices, 3 subdials & date window,Water resistance: to 30 meters,Warranty: 2-year limited,Macy’s does not offer its own watch warranty; all warranties are provided by the vendor.,Photo may have been enlarged and/or enhanced.,Sign up for Macy's WorryNoMore® Jewelry & Watch Protection program within 30 days of purchase. Before delivery, call Customer Service 1-800-289-6229 to sign up. After delivery, visit a Macy's store with your dated receipt and jewelry purchase to sign up.,Web ID: 4662898","Movado designs this elegant chronograph from the Heritage Series Calendoplan collection, providing clarity and precision in a handsome presentation.",$850.00,None,0,,Extra 25% off use: FRIEND,https://www.macys.com/shop/product/movado-mens-swiss-chronograph-heritage-series-calendoplan-cognac-leather-strap-watch-43mm?ID=4662898&CategoryID=65993&isDlp=true,Men's Swiss Chronograph Heritage Series Calendoplan Cognac Leather Strap Watch 43mm
"TECH FEATURES-,Tracks activity, heart rate and GPS location. Receives smart notifications, controls your music & runs Google Pay™.,Battery lasts for 1 day on single charge in smart mode or multiple days in watch mode. Magnetic charger.,Compatible with Android 4.4+ (excluding Go edition) or iOS 10+,Touchscreen hybrid display with customizable movado dial designs and pushers,Features voice activated Google Assistant and Google Fit,PRODUCT FEATURES-,Smart watch movement,Round rose gold-tone stainless steel; 40mm,Pink leather strap,Buckle closure,Water resistant to 10 meters,2-year limited warranty,Photo may have been enlarged and/or enhanced.,Sign up for Macy's WorryNoMore® Jewelry & Watch Protection program within 30 days of purchase. Before delivery, call Customer Service 1-800-289-6229 to sign up. After delivery, visit a Macy's store with your dated receipt and jewelry purchase to sign up.,Web ID: 10093854",Movado's sweet pink leather and rose gold-tone stainless steel Connect 2.0 smart watch is a dynamo of contemporary tech with a nuanced touchscreen display and sophisticated GPS services. Style #3660023,Now $385.00,None,0,, $24.99 Men's Bonus Buy ,https://www.macys.com/shop/product/movado-connect-2.0-pink-leather-strap-touchscreen-smart-watch-40mm?ID=10093854&CategoryID=65993&isDlp=true,Connect 2.0 Pink Leather Strap Touchscreen Smart Watch 40mm
