bracelet,case_diameter,case_material,crystal,dial,gender,in_stock,model_number,movement,online_exclusive,price,strap,watch_model,water_resistance
grey ion-plated stainless steel link bracelet,40,grey ion-plated stainless steel,K1,grey Museum with flat dot,unisex,In Stock,3600509,Swiss quartz movement,No,$695.00,,Movado BOLD Evolution,3 ATM
ionic light gold plated steel mesh bracelet,35,ionic light gold plated steel,K1,light gold Museum with flat dot,women's,In Stock,3600598,Swiss quartz movement,No,$595.00,,Movado BOLD Thin,3 ATM
yellow gold ion-plated stainless steel link bracelet,34,yellow gold ion-plated stainless steel,K1,gold-toned metallic Museum with flat dot,women's,In Stock,3600502,Swiss quartz movement,No,$650.00,,Movado BOLD Shimmer,3 ATM
stainless steel link bracelet,34,stainless steel,K1,silver-toned metallic Museum with flat dot,women's,In Stock,3600501,Swiss quartz movement,No,$550.00,,Movado BOLD Shimmer,3 ATM
two-tone stainless steel link bracelet,34,stainless steel,K1,silver-toned metallic Museum with flat dot,women's,In Stock,3600504,Swiss quartz movement,No,$595.00,,Movado BOLD Shimmer,3 ATM
yellow gold ion-plated stainless steel link bracelet,36,yellow gold ion-plated stainless steel,K1,yellow Museum with flat dot,women's,In Stock,3600085,Swiss quartz movement,No,$650.00,,Movado BOLD Metals,30 meters
stainless steel link bracelet,38,stainless steel with diamonds,sapphire,black with diamonds,men's,In Stock,0606237,Swiss quartz movement,No,"$3,495.00",,Faceto,30 meters
,41,grey ion-plated stainless steel,K1,black Museum with concave dot,men's,In Stock,3640033,Swiss quartz movement,No,$350.00,black leather,Movado Face,3 ATM
,43,stainless steel,K1,white Museum with concave dot,men's,In Stock,3640037,Swiss quartz chronograph movement,MOVADO.COM EXCLUSIVE,$550.00,brown leather,Movado Face,3 ATM
,41,stainless steel,K1,white Museum with concave dot,men's,In Stock,3640001,Swiss quartz movement,No,$350.00,brown leather,Movado Face,3 ATM
,43,yellow gold ion-plated stainless steel,K1,white Museum with concave dot,men's,In Stock,3640043,Swiss quartz chronograph movement,MOVADO.COM EXCLUSIVE,$550.00,grey leather,Movado Face,3 ATM
,41,grey ion-plated stainless steel,K1,grey Museum with concave dot,men's,In Stock,3640034,Swiss quartz movement,MOVADO.COM EXCLUSIVE,$350.00,grey leather,Movado Face,3 ATM
,40,stainless steel rose gold PVD,sapphire,black Museum with flat dot,men's,In Stock,0607433,Swiss quartz movement,MOVADO.COM EXCLUSIVE,$695.00,black calfskin,Modern 47,30 meters
,40,yellow PVD-finished stainless steel,sapphire,black Museum with flat dot,men's,In Stock,0607432,Swiss quartz movement,MOVADO.COM EXCLUSIVE,$695.00,black calfskin,Modern 47,30 meters
,42,black TR90 composite material and stainless steel,K1,black Museum with flat dot,men's,In Stock,3600600,Swiss quartz movement,No,$450.00,cognac Colorado leather,Movado BOLD TR90,3 ATM
,42,black TR90 composite material and stainless steel,K1,black Museum with flat dot,men's,In Stock,3600602,Swiss quartz movement,No,$395.00,red leather,Movado BOLD TR90,3 ATM
stainless steel link bracelet,42,stainless steel,Gorilla Glass,,Unisex,Out of Stock,3660035,Smart module,No,$795.00,,42mm Movado Connect 2.0,IPX8 / 1 ATM
black ion-plated stainless steel link bracelet,42.3,black ion-plated stainless steel,K1,black with printed index,men's,Out of Stock,3600662,Swiss quartz movement,No,$795.00,,Movado BOLD Fusion,3 ATM
blue ion-plated stainless steel link bracelet,42.3,blue ion-plated stainless steel,K1,blue with printed index,men's,Out of Stock,3600661,Swiss quartz movement,No,$795.00,,Movado BOLD Fusion,3 ATM
,42.3,bronze ion-plated stainless steel,K1,black with applied markers,men's,Out of Stock,3600622,Swiss quartz movement,No,$595.00,black silicone,Movado BOLD Fusion,3 ATM
stainless steel link bracelet,39.5,stainless steel,sapphire,silver-toned metallic with printed index,men's,Out of Stock,0607462,Swiss automatic movement,No,"$1,395.00",,1881 Automatic,30 meters
